2014-07-22 18:58:59 +0400;Bob;Jessey
2014-07-22 19:58:59 +0400;Rust;Wolter
2014-07-22 20:58:59 +0400;Said;Jack
2014-07-22 21:58:59 +0400;Jessey;Sally
2014-07-22 22:58:59 +0400;Bob;Sally
2014-07-22 23:58:59 +0400;Jessey;Jessica
2014-07-23 00:58:59 +0400;Said;Jessey
2014-07-23 01:58:59 +0400;Irina;Jessica
2014-07-23 02:58:59 +0400;Bob;Said
2014-07-23 03:58:59 +0400;Wolter;Jessey
2014-07-23 04:58:59 +0400;Bob;Sally
2014-07-23 05:58:59 +0400;Bob;Wolter
2014-07-23 06:58:59 +0400;Said;Rust
2014-07-23 07:58:59 +0400;Irina;Sally
2014-07-23 08:58:59 +0400;Bob;Jessey
2014-07-23 09:58:59 +0400;Jessica;Pit
2014-07-23 10:58:59 +0400;Said;Irina
2014-07-23 11:58:59 +0400;Jessica;Pit
2014-07-23 12:58:59 +0400;Irvin;Jessey
2014-07-23 13:58:59 +0400;Pit;Sally
2014-07-23 14:58:59 +0400;Pit;Rust
2014-07-23 15:58:59 +0400;Irvin;Said
2014-07-23 16:58:59 +0400;Pit;Said
2014-07-23 17:58:59 +0400;Wolter;Jessey
2014-07-23 18:58:59 +0400;Irvin;Said
